EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 18-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, SOLTAU (STAID: 4652).
Blended and updated with sources: 128914 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
128914,18930603,    0,    0
128914,18930604,  265,    0
128914,18930605,    4,    0
128914,18930606,    0,    0
128914,18930607,    0,    0
128914,18930608,    0,    0
128914,18930609,    0,    0
128914,18930610,    0,    0
128914,18930611,   30,    0
128914,18930612,    0,    0
128914,18930613,    0,    0
128914,18930614,    0,    0
128914,18930615,    0,    0
128914,18930616,    0,    0
128914,18930617,    0,    0
128914,18930618,    0,    0
128914,18930619,    0,    0
128914,18930620,    0,    0
128914,18930621,    0,    0
128914,18930622,    0,    0
128914,18930623,   12,    0
128914,18930624,   13,    0
128914,18930625,   31,    0
128914,18930626,   18,    0
128914,18930627,    0,    0
128914,18930628,    0,    0
128914,18930629,    0,    0
128914,18930630,    0,    0
128914,18930701,    0,    0
128914,18930702,    0,    0
128914,18930703,    0,    0
128914,18930704,    0,    0
128914,18930705,    0,    0
128914,18930706,    0,    0
128914,18930707,    0,    0
128914,18930708,    0,    0
128914,18930709,    7,    0
128914,18930710,    0,    0
128914,18930711,    7,    0
128914,18930712,    0,    0
128914,18930713,   45,    0
128914,18930714,    4,    0
128914,18930715,    0,    0
128914,18930716,    0,    0
128914,18930717,   55,    0
128914,18930718,  181,    0
128914,18930719,   45,    0
128914,18930720,   35,    0
128914,18930721,   17,    0
128914,18930722,    5,    0
128914,18930723,    0,    0
128914,18930724,   17,    0
128914,18930725,    6,    0
128914,18930726,    0,    0
128914,18930727,   38,    0
128914,18930728,    0,    0
128914,18930729,   88,    0
128914,18930730,   17,    0
128914,18930731,    6,    0
128914,18930801,   17,    0
128914,18930802,   65,    0
128914,18930803,    0,    0
128914,18930804,  109,    0
128914,18930805,   42,    0
128914,18930806,    6,    0
128914,18930807,    0,    0
128914,18930808,    0,    0
128914,18930809,    0,    0
128914,18930810,    0,    0
128914,18930811,    0,    0
128914,18930812,   59,    0
128914,18930813,    0,    0
128914,18930814,    0,    0
128914,18930815,    0,    0
128914,18930816,    3,    0
128914,18930817,    0,    0
128914,18930818,    0,    0
128914,18930819,    1,    0
128914,18930820,    0,    0
128914,18930821,    7,    0
128914,18930822,    0,    0
128914,18930823,    2,    0
128914,18930824,   10,    0
128914,18930825,   22,    0
128914,18930826,   43,    0
128914,18930827,   36,    0
128914,18930828,    0,    0
128914,18930829,   11,    0
128914,18930830,   43,    0
128914,18930831,    6,    0
128914,18930901,   10,    0
128914,18930902,   31,    0
128914,18930903,   17,    0
128914,18930904,    0,    0
128914,18930905,    0,    0
128914,18930906,    1,    0
128914,18930907,   12,    0
128914,18930908,   20,    0
128914,18930909,    6,    0
128914,18930910,   12,    0
128914,18930911,    0,    0
128914,18930912,    0,    0
128914,18930913,   13,    0
128914,18930914,    0,    0
128914,18930915,    0,    0
128914,18930916,  125,    0
128914,18930917,   64,    0
128914,18930918,    0,    0
128914,18930919,    0,    0
128914,18930920,   88,    0
128914,18930921,    4,    0
128914,18930922,   22,    0
128914,18930923,    1,    0
128914,18930924,    7,    0
128914,18930925,   15,    0
128914,18930926,  184,    0
128914,18930927,  138,    0
128914,18930928,   30,    0
128914,18930929,   30,    0
128914,18930930,   31,    0
128914,18931001,   92,    0
128914,18931002,    0,    0
128914,18931003,   38,    0
128914,18931004,    3,    0
128914,18931005,   62,    0
128914,18931006,    2,    0
128914,18931007,    0,    0
128914,18931008,    0,    0
128914,18931009,    0,    0
128914,18931010,    8,    0
128914,18931011,   29,    0
128914,18931012,   66,    0
128914,18931013,    0,    0
128914,18931014,  164,    0
128914,18931015,  127,    0
128914,18931016,   33,    0
128914,18931017,    0,    0
128914,18931018,   17,    0
128914,18931019,    5,    0
128914,18931020,   17,    0
128914,18931021,    0,    0
128914,18931022,   49,    0
128914,18931023,    6,    0
128914,18931024,    0,    0
128914,18931025,    0,    0
128914,18931026,   48,    0
128914,18931027,   30,    0
128914,18931028,   37,    0
128914,18931029,   26,    0
128914,18931030,   15,    0
128914,18931031,    0,    0
128914,18931101,   71,    0
128914,18931102,   32,    0
128914,18931103,   13,    0
128914,18931104,   27,    0
128914,18931105,    0,    0
128914,18931106,    0,    0
128914,18931107,    0,    0
128914,18931108,    0,    0
128914,18931109,    0,    0
128914,18931110,    1,    0
128914,18931111,    0,    0
128914,18931112,    0,    0
128914,18931113,    0,    0
128914,18931114,   15,    0
128914,18931115,   73,    0
128914,18931116,    0,    0
128914,18931117,    0,    0
128914,18931118,   10,    0
128914,18931119,  105,    0
128914,18931120,   26,    0
128914,18931121,    5,    0
128914,18931122,   25,    0
128914,18931123,    0,    0
128914,18931124,   15,    0
128914,18931125,  132,    0
128914,18931126,   72,    0
128914,18931127,    4,    0
128914,18931128,   68,    0
128914,18931129,    5,    0
128914,18931130,    0,    0
128914,18931201,  151,    0
128914,18931202,   49,    0
128914,18931203,    0,    0
128914,18931204,   18,    0
128914,18931205,    0,    0
128914,18931206,    0,    0
128914,18931207,    4,    0
128914,18931208,    0,    0
128914,18931209,    0,    0
128914,18931210,    0,    0
128914,18931211,   45,    0
128914,18931212,    0,    0
128914,18931213,   36,    0
128914,18931214,    0,    0
128914,18931215,   12,    0
128914,18931216,    0,    0
128914,18931217,    0,    0
128914,18931218,    0,    0
128914,18931219,    1,    0
128914,18931220,    9,    0
128914,18931221,    6,    0
128914,18931222,   38,    0
128914,18931223,    0,    0
128914,18931224,    0,    0
128914,18931225,   67,    0
128914,18931226,   17,    0
128914,18931227,    3,    0
128914,18931228,    0,    0
128914,18931229,    0,    0
128914,18931230,    0,    0
128914,18931231,   15,    0
128914,18940101,    8,    0
128914,18940102,    2,    0
128914,18940103,    4,    0
128914,18940104,    0,    0
